id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime,forecast_w,forecast_d,forecast_l
16524,True,81,West Ham,WHU,80,Chelsea,CHE,3,2,2.0174,1.37049,2021-12-04 12:30:00,0.5469,0.238,0.2151
16520,True,86,Newcastle United,NEW,92,Burnley,BUR,1,0,1.70609,0.604599,2021-12-04 15:00:00,0.6761,0.2236,0.1003
16521,True,74,Southampton,SOU,220,Brighton,BRI,1,1,1.34236,1.4872,2021-12-04 15:00:00,0.3101,0.2802,0.4097
16525,True,229,Wolverhampton Wanderers,WOL,87,Liverpool,LIV,0,1,0.095167,2.42332,2021-12-04 15:00:00,0.005,0.0531,0.9419
16523,True,90,Watford,WAT,88,Manchester City,MCI,1,3,0.675105,4.03223,2021-12-04 17:30:00,0.0142,0.0375,0.9483
16518,True,245,Leeds,LED,244,Brentford,BRE,2,2,1.41896,1.19959,2021-12-05 14:00:00,0.4119,0.3026,0.2855
16519,True,89,Manchester United,MUN,78,Crystal Palace,CRY,1,0,0.870376,0.520593,2021-12-05 14:00:00,0.4144,0.379,0.2066
16522,True,82,Tottenham,TOT,79,Norwich,NOR,3,0,2.00668,1.06562,2021-12-05 14:00:00,0.6123,0.2365,0.1512
16516,True,71,Aston Villa,AVL,75,Leicester,LEI,2,1,1.84818,0.982614,2021-12-05 16:30:00,0.6012,0.2298,0.169
16517,True,72,Everton,EVE,83,Arsenal,ARS,2,1,1.06108,1.05723,2021-12-06 20:00:00,0.3397,0.3172,0.3431
16527,True,244,Brentford,BRE,90,Watford,WAT,2,1,1.82799,0.561554,2021-12-10 20:00:00,0.7457,0.1892,0.0651
16534,True,88,Manchester City,MCI,229,Wolverhampton Wanderers,WOL,1,0,2.99915,0.0762839,2021-12-11 12:30:00,0.9707,0.0277,0.0016
16526,True,83,Arsenal,ARS,74,Southampton,SOU,3,0,2.08429,0.502215,2021-12-11 15:00:00,0.7915,0.1533,0.0552
16530,True,80,Chelsea,CHE,245,Leeds,LED,3,2,2.74844,1.72934,2021-12-11 15:00:00,0.6283,0.22,0.1517
16533,True,87,Liverpool,LIV,71,Aston Villa,AVL,1,0,2.71181,0.140573,2021-12-11 15:00:00,0.9577,0.0381,0.0042
16535,True,79,Norwich,NOR,89,Manchester United,MUN,0,1,0.986107,2.09817,2021-12-11 17:30:00,0.1146,0.1998,0.6856
16529,True,92,Burnley,BUR,81,West Ham,WHU,0,0,0.54801,0.998813,2021-12-12 14:00:00,0.1882,0.3477,0.4641
16532,True,75,Leicester,LEI,86,Newcastle United,NEW,4,0,2.05771,0.511934,2021-12-12 14:00:00,0.8223,0.1348,0.0429
16531,True,78,Crystal Palace,CRY,72,Everton,EVE,3,1,2.09864,1.27556,2021-12-12 16:30:00,0.5877,0.2329,0.1794
