Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2018-05-05 17:00:00,6698,183,Spartak Moscow,187,FC Rostov,2,0,,,2.27791,0.430483
2018-05-13 12:00:00,6471,183,Spartak Moscow,190,Dinamo Moscow,0,1,,,0.882084,1.98094
2018-07-28 19:00:00,8946,183,Spartak Moscow,199,FC Orenburg,1,0,,,0.78611,0.195363
2018-08-04 19:00:00,8956,183,Spartak Moscow,192,Lokomotiv Moscow,0,0,,,1.47596,0.533667
2018-08-11 19:00:00,8963,183,Spartak Moscow,193,Anzhi Makhachkala,1,0,,,1.77821,0.0220797
2018-08-18 19:00:00,8971,183,Spartak Moscow,196,FC Krasnodar,1,0,,,0.339471,1.0754
2018-08-25 19:00:00,8980,183,Spartak Moscow,190,Dinamo Moscow,2,1,,,2.22604,0.36489
2018-09-02 16:00:00,8991,183,Spartak Moscow,189,Zenit St. Petersburg,0,0,,,0.512206,0.845865
2018-09-16 16:00:00,8998,183,Spartak Moscow,188,FK Akhmat,1,2,,,0.750654,1.60606
2018-09-23 16:00:00,9006,183,Spartak Moscow,185,CSKA Moscow,1,1,,,0.797273,0.823241
2018-09-30 16:00:00,9015,183,Spartak Moscow,187,FC Rostov,0,1,,,0.557661,1.20486
2018-10-07 08:30:00,9019,183,Spartak Moscow,226,FC Yenisey Krasnoyarsk,3,2,,,1.71339,1.61194
2018-10-21 13:30:00,9028,183,Spartak Moscow,200,Arsenal Tula,2,3,,,2.04181,2.12445
2018-10-29 16:30:00,9037,183,Spartak Moscow,186,Rubin Kazan,1,1,,,0.917239,0.88705
2018-11-04 16:00:00,9046,183,Spartak Moscow,198,Ural,1,2,,,1.34706,1.80676
2018-11-11 11:00:00,9052,183,Spartak Moscow,184,FC Ufa,0,2,,,0.447186,1.40675
2018-11-25 11:00:00,9057,183,Spartak Moscow,194,Krylya Sovetov Samara,3,1,,,2.30277,0.548141
2018-12-02 16:00:00,9070,183,Spartak Moscow,192,Lokomotiv Moscow,2,1,,,1.52218,2.67071
2018-12-08 17:00:00,9080,183,Spartak Moscow,193,Anzhi Makhachkala,3,0,,,3.35541,0.971855
2019-03-03 16:00:00,9087,183,Spartak Moscow,196,FC Krasnodar,1,1,,,0.943381,0.912565
2019-03-10 16:00:00,9094,183,Spartak Moscow,190,Dinamo Moscow,1,0,,,0.957899,0.56364
2019-03-17 16:00:00,9102,183,Spartak Moscow,189,Zenit St. Petersburg,1,1,,,2.0275,0.95417
2019-03-30 13:30:00,9109,183,Spartak Moscow,188,FK Akhmat,3,1,,,1.75714,0.674893
2019-04-06 17:00:00,9117,183,Spartak Moscow,185,CSKA Moscow,0,2,,,1.08112,2.3397
2019-04-14 17:00:00,9122,183,Spartak Moscow,187,FC Rostov,1,2,,,1.2092,0.949243
2019-04-21 17:00:00,9131,183,Spartak Moscow,226,FC Yenisey Krasnoyarsk,2,0,,,1.47233,0.174987
2019-04-25 18:30:00,9138,183,Spartak Moscow,200,Arsenal Tula,0,3,,,0.680616,1.74986
2019-04-29 17:30:00,9149,183,Spartak Moscow,186,Rubin Kazan,1,1,,,1.11434,1.39197
2019-05-04 12:00:00,9158,183,Spartak Moscow,198,Ural,1,0,,,1.52085,1.47842
2019-05-12 14:30:00,9167,183,Spartak Moscow,184,FC Ufa,1,0,,,1.12398,0.967868
2019-05-18 16:00:00,9169,183,Spartak Moscow,194,Krylya Sovetov Samara,2,1,,,1.30241,1.31665
2019-05-26 11:00:00,9184,183,Spartak Moscow,199,FC Orenburg,0,2,,,0.836699,1.93278
2019-07-13 16:00:00,11025,183,Spartak Moscow,236,PFC Sochi,1,0,,,0.892691,1.80674
2019-07-20 18:30:00,11034,183,Spartak Moscow,187,FC Rostov,2,2,,,1.78371,2.57037
2019-07-27 13:30:00,11041,183,Spartak Moscow,237,FC Tambov,0,2,,,0.842638,1.73925
2019-08-03 17:00:00,11049,183,Spartak Moscow,190,Dinamo Moscow,0,0,,,0.580905,0.844036
2019-08-11 19:30:00,11061,183,Spartak Moscow,188,FK Akhmat,3,1,,,0.800104,1.01237
2019-08-19 18:00:00,11070,183,Spartak Moscow,185,CSKA Moscow,2,1,,,2.18446,1.30039
2019-08-25 17:00:00,11074,183,Spartak Moscow,194,Krylya Sovetov Samara,2,1,,,1.80278,1.08984
2019-09-01 17:00:00,11086,183,Spartak Moscow,189,Zenit St. Petersburg,0,1,,,0.639681,0.901396
2019-09-14 13:30:00,11091,183,Spartak Moscow,198,Ural,1,2,,,0.839131,0.652485
2019-09-20 14:30:00,11099,183,Spartak Moscow,184,FC Ufa,0,1,,,2.44372,0.920475
2019-09-29 13:30:00,11107,183,Spartak Moscow,199,FC Orenburg,1,2,,,1.73011,0.695329
2019-10-06 17:00:00,11116,183,Spartak Moscow,196,FC Krasnodar,1,2,,,1.0025,1.63984
2019-10-19 14:30:00,11126,183,Spartak Moscow,186,Rubin Kazan,0,0,,,1.23863,0.659502
2019-10-27 13:30:00,11130,183,Spartak Moscow,192,Lokomotiv Moscow,3,0,,,1.62803,0.82244
2019-11-04 16:00:00,11139,183,Spartak Moscow,200,Arsenal Tula,0,1,,,2.2369,0.434157
2019-11-09 16:00:00,11150,183,Spartak Moscow,194,Krylya Sovetov Samara,2,0,,,3.0737,0.486694
2019-11-24 11:00:00,11157,183,Spartak Moscow,198,Ural,0,0,,,2.47478,0.667782
2019-12-01 16:00:00,11165,183,Spartak Moscow,189,Zenit St. Petersburg,0,1,,,0.878405,1.46174
2019-12-08 16:00:00,11173,183,Spartak Moscow,187,FC Rostov,1,4,,,1.90259,3.58481
2020-02-29 13:30:00,11179,183,Spartak Moscow,190,Dinamo Moscow,2,0,,,2.06749,0.770056
2020-03-09 13:30:00,11183,183,Spartak Moscow,196,FC Krasnodar,0,1,,,0.67401,1.764
2020-03-14 11:00:00,11198,183,Spartak Moscow,199,FC Orenburg,3,1,,,1.15891,1.38111
2020-06-20 13:30:00,11203,183,Spartak Moscow,200,Arsenal Tula,3,2,,,0.800618,1.58279
2020-06-27 13:30:00,11208,183,Spartak Moscow,184,FC Ufa,0,0,,,1.00112,0.25207
2020-06-30 17:30:00,11217,183,Spartak Moscow,185,CSKA Moscow,0,2,,,0.967182,1.02841
2020-07-04 15:30:00,11223,183,Spartak Moscow,237,FC Tambov,2,3,,,1.74519,1.57503
2020-07-08 17:30:00,11232,183,Spartak Moscow,192,Lokomotiv Moscow,1,1,,,0.389443,1.3552
2020-07-11 17:30:00,11244,183,Spartak Moscow,236,PFC Sochi,0,1,,,1.07609,0.0501716
2020-07-15 15:00:00,11248,183,Spartak Moscow,188,FK Akhmat,3,0,,,0.89047,0.258556
2020-07-22 16:00:00,11259,183,Spartak Moscow,186,Rubin Kazan,2,1,,,2.78668,1.44313
2020-08-09 17:00:00,14001,183,Spartak Moscow,236,PFC Sochi,2,2,,,1.46113,2.12941
2020-08-14 17:00:00,14007,183,Spartak Moscow,188,FK Akhmat,2,0,,,2.59424,0.350143
2020-08-19 13:00:00,14017,183,Spartak Moscow,184,FC Ufa,1,1,,,2.8522,0.271005
2020-08-23 16:00:00,14028,183,Spartak Moscow,192,Lokomotiv Moscow,2,1,,,1.56274,0.712562
