-3.6,-3.5,-3.4,-3.2,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.2,3.4,3.5,3.6
,,,,,,59%,75%,69%,59%,53%,,66%,47%,53%,38%,31%,50%,41%,47%,44%,31%,28%,44%,28%,31%,25%,34%,19%,38%,41%,34%,28%,44%,34%,25%,25%,28%,22%,34%,28%,19%,16%,31%,22%,6%,19%,16%,28%,12%,19%,12%,22%,16%,22%,12%,16%,,9%,9%,,3%,6%,,,,,,
,,,,,,61%,76%,,61%,52%,,67%,48%,55%,36%,30%,48%,39%,48%,42%,33%,30%,45%,27%,30%,27%,36%,18%,36%,39%,33%,30%,42%,36%,24%,24%,30%,21%,36%,27%,18%,15%,30%,21%,6%,21%,15%,27%,12%,18%,15%,21%,15%,21%,12%,15%,,9%,9%,,6%,6%,,,,,,
,,,,,,59%,74%,,62%,53%,,68%,47%,56%,38%,29%,47%,38%,47%,44%,32%,32%,44%,26%,29%,29%,38%,18%,35%,41%,35%,32%,41%,38%,24%,24%,29%,21%,35%,29%,18%,18%,29%,24%,6%,21%,15%,29%,15%,18%,15%,24%,15%,21%,12%,18%,,9%,9%,,6%,6%,,,,,,
,,,,,,60%,71%,,60%,54%,,66%,49%,57%,37%,29%,46%,40%,49%,43%,31%,34%,43%,26%,31%,29%,37%,17%,37%,40%,34%,34%,40%,37%,23%,23%,29%,20%,37%,31%,17%,20%,31%,23%,6%,20%,14%,29%,14%,17%,14%,23%,14%,20%,11%,17%,,9%,9%,,9%,6%,,,,,,
,,,,,,61%,72%,,,53%,,67%,50%,58%,39%,31%,44%,39%,50%,42%,33%,33%,44%,28%,31%,31%,36%,19%,36%,42%,33%,36%,39%,36%,25%,22%,28%,19%,36%,31%,19%,22%,31%,22%,6%,19%,14%,28%,14%,17%,14%,22%,14%,19%,11%,17%,,8%,8%,,8%,6%,,,,,,
,,,,,,62%,73%,,,54%,,68%,51%,59%,41%,32%,46%,38%,49%,43%,35%,32%,46%,27%,30%,30%,35%,22%,35%,41%,32%,35%,38%,35%,24%,22%,27%,19%,38%,32%,22%,24%,30%,22%,5%,19%,14%,27%,14%,19%,16%,22%,14%,19%,11%,19%,,8%,8%,,8%,,,,,,,
,,,,,,,,,,53%,,66%,53%,61%,42%,34%,47%,37%,50%,42%,34%,32%,47%,26%,29%,32%,34%,21%,37%,39%,32%,37%,37%,37%,24%,21%,29%,18%,39%,32%,24%,24%,29%,21%,5%,18%,13%,26%,13%,21%,16%,21%,16%,21%,11%,18%,,8%,,,8%,,,,,,,
,,,,,,,,,,54%,,67%,54%,59%,44%,33%,46%,38%,49%,44%,36%,31%,49%,28%,28%,31%,36%,23%,36%,38%,31%,36%,36%,36%,23%,21%,31%,18%,41%,31%,23%,26%,28%,21%,5%,18%,15%,28%,13%,23%,15%,21%,15%,21%,10%,18%,,8%,,,,,,,,,,
,,,,,,,,,,55%,,65%,55%,57%,42%,32%,48%,38%,50%,42%,35%,30%,50%,28%,28%,32%,38%,25%,35%,38%,32%,35%,38%,35%,25%,20%,32%,18%,42%,30%,22%,28%,28%,20%,5%,18%,15%,28%,15%,22%,15%,20%,15%,22%,10%,18%,,8%,,,,,,,,,,
,,,,,,,,,,56%,,66%,56%,56%,44%,34%,49%,37%,51%,44%,34%,32%,51%,27%,29%,32%,37%,24%,34%,37%,32%,34%,39%,34%,24%,20%,32%,17%,41%,29%,22%,29%,27%,20%,5%,17%,15%,27%,15%,24%,15%,20%,15%,22%,10%,17%,,7%,,,,,,,,,,
,,,,,,,,,,55%,,67%,57%,57%,43%,33%,50%,36%,50%,45%,33%,33%,52%,26%,31%,31%,36%,26%,36%,38%,31%,33%,38%,36%,24%,19%,31%,19%,40%,29%,21%,29%,29%,21%,5%,17%,17%,26%,17%,24%,14%,19%,14%,21%,10%,17%,,7%,,,,,,,,,,
