-5.0,-4.8,-4.6,-4.2,-4.1,-4.0,-3.9,-3.8,-3.7,-3.6,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.6,4.8,5.0
,,,,,,,,,,,,,,49%,42%,56%,,56%,60%,51%,47%,40%,33%,42%,47%,28%,33%,33%,42%,40%,35%,23%,40%,44%,49%,44%,33%,44%,33%,30%,28%,33%,28%,35%,28%,23%,33%,19%,33%,37%,28%,30%,14%,26%,21%,21%,23%,26%,23%,30%,16%,16%,23%,19%,14%,14%,9%,19%,16%,12%,16%,12%,,14%,14%,7%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,48%,41%,55%,,57%,61%,50%,45%,39%,32%,41%,48%,27%,34%,34%,41%,41%,34%,23%,39%,43%,48%,45%,32%,43%,34%,30%,27%,32%,27%,34%,27%,25%,32%,18%,32%,36%,27%,30%,14%,27%,20%,20%,25%,25%,23%,30%,16%,16%,23%,18%,14%,14%,9%,18%,16%,11%,16%,11%,,14%,14%,7%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,49%,42%,56%,,56%,62%,51%,44%,40%,31%,42%,49%,27%,33%,33%,42%,42%,33%,22%,40%,42%,47%,47%,33%,42%,33%,31%,27%,31%,27%,33%,27%,24%,31%,18%,33%,36%,29%,31%,13%,27%,22%,20%,27%,24%,22%,31%,16%,16%,24%,18%,13%,13%,11%,20%,18%,13%,18%,11%,,16%,13%,7%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,50%,41%,54%,,57%,63%,50%,46%,41%,33%,43%,50%,26%,33%,33%,41%,41%,33%,22%,39%,43%,46%,46%,33%,43%,33%,30%,28%,30%,26%,33%,28%,24%,33%,17%,33%,35%,28%,30%,13%,26%,22%,20%,26%,24%,22%,30%,15%,15%,24%,17%,13%,13%,13%,20%,17%,13%,17%,11%,,15%,13%,7%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,49%,40%,53%,,57%,64%,51%,45%,40%,32%,45%,51%,28%,32%,32%,43%,40%,32%,23%,38%,43%,45%,45%,34%,43%,34%,30%,28%,30%,26%,34%,30%,26%,34%,17%,32%,34%,28%,32%,15%,26%,21%,19%,28%,26%,21%,32%,15%,15%,23%,17%,13%,13%,15%,19%,17%,15%,17%,11%,,15%,13%,6%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,50%,40%,54%,,58%,65%,50%,46%,42%,33%,44%,50%,29%,31%,33%,42%,42%,33%,23%,38%,44%,46%,46%,33%,42%,35%,29%,29%,29%,27%,33%,29%,25%,33%,19%,31%,33%,29%,31%,15%,25%,23%,21%,29%,25%,21%,31%,17%,15%,23%,17%,12%,12%,15%,21%,17%,17%,17%,10%,,15%,12%,6%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51%,41%,,,59%,63%,51%,45%,41%,35%,45%,51%,29%,31%,35%,41%,41%,33%,22%,37%,45%,47%,47%,35%,43%,35%,29%,31%,29%,29%,35%,31%,27%,33%,18%,31%,35%,31%,33%,14%,24%,22%,20%,29%,24%,22%,31%,16%,16%,24%,18%,12%,12%,16%,20%,16%,16%,16%,10%,,14%,12%,6%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,52%,42%,,,58%,62%,52%,44%,40%,36%,44%,52%,28%,30%,34%,42%,40%,32%,24%,36%,44%,48%,48%,34%,44%,34%,30%,32%,28%,28%,34%,32%,26%,32%,18%,32%,34%,32%,34%,14%,24%,24%,22%,28%,24%,22%,30%,18%,16%,24%,18%,12%,12%,16%,22%,16%,16%,16%,10%,,,12%,6%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,53%,43%,,,59%,63%,53%,45%,41%,37%,43%,51%,27%,29%,35%,43%,41%,33%,25%,37%,43%,47%,47%,35%,43%,33%,31%,31%,27%,29%,33%,31%,25%,31%,18%,31%,35%,33%,33%,14%,24%,24%,24%,27%,24%,24%,29%,18%,16%,24%,20%,12%,12%,16%,22%,16%,16%,18%,10%,,,14%,8%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,54%,42%,,,58%,62%,52%,44%,40%,38%,44%,52%,27%,29%,35%,44%,42%,33%,25%,38%,42%,46%,46%,37%,42%,35%,33%,31%,27%,31%,35%,31%,27%,31%,17%,31%,35%,33%,33%,13%,23%,23%,23%,27%,23%,25%,29%,17%,15%,25%,19%,12%,12%,15%,21%,15%,15%,17%,10%,,,13%,8%,,,,,,,,,,,,,,
