-2.9,-2.8,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0
,,,,,,,,,,,,,28%,22%,23%,25%,34%,20%,22%,32%,25%,26%,29%,31%,32%,26%,32%,28%,17%,25%,28%,31%,26%,25%,26%,25%,28%,25%,25%,29%,32%,26%,23%,31%,28%,18%,26%,,,,,,,,,,,
,,,,,,,,,,,,,29%,21%,23%,24%,33%,21%,23%,33%,24%,26%,30%,30%,33%,26%,32%,27%,17%,24%,27%,30%,26%,26%,27%,26%,29%,24%,26%,29%,33%,26%,23%,30%,27%,18%,27%,,,,,,,,,,,
,,,,,,,,,,,,,28%,22%,24%,24%,33%,22%,22%,33%,24%,27%,31%,31%,33%,25%,31%,27%,16%,25%,27%,30%,27%,25%,27%,25%,28%,25%,25%,30%,33%,25%,22%,30%,27%,18%,27%,,,,,,,,,,,
,,,,,,,,,,,,,28%,22%,24%,24%,32%,24%,22%,32%,24%,26%,31%,32%,32%,25%,31%,26%,16%,26%,28%,29%,26%,25%,26%,25%,28%,25%,25%,31%,32%,25%,22%,29%,26%,19%,26%,,,,,,,,,,,
,,,,,,,,,,,,,29%,22%,23%,23%,32%,25%,22%,33%,23%,26%,30%,32%,32%,25%,30%,26%,17%,26%,28%,29%,26%,25%,26%,26%,28%,25%,25%,30%,32%,25%,22%,30%,28%,19%,26%,,,,,,,,,,,
,,,,,,,,,,,,,29%,21%,24%,23%,31%,24%,23%,33%,24%,26%,31%,31%,33%,24%,30%,26%,17%,26%,27%,29%,26%,24%,26%,27%,29%,24%,24%,30%,31%,24%,21%,30%,27%,19%,26%,,,,,,,,,,,
,,,,,,,,,,,,,28%,23%,24%,23%,32%,25%,23%,34%,24%,25%,31%,31%,32%,24%,31%,25%,17%,25%,28%,28%,25%,24%,25%,27%,30%,24%,24%,30%,32%,24%,23%,30%,27%,20%,25%,,,,,,,,,,,
,,,,,,,,,,,,,28%,24%,24%,22%,32%,25%,22%,35%,24%,25%,32%,31%,32%,24%,31%,25%,17%,26%,28%,28%,25%,24%,26%,26%,29%,24%,24%,31%,33%,24%,24%,29%,26%,21%,26%,,,,,,,,,,,
,,,,,,,,,,,,,27%,25%,23%,22%,32%,26%,23%,34%,23%,26%,32%,30%,32%,23%,32%,25%,16%,26%,29%,27%,26%,25%,27%,26%,29%,25%,23%,30%,34%,23%,23%,29%,26%,21%,26%,,,,,,,,,,,
,,,,,,,,,,,,,27%,24%,23%,23%,32%,27%,24%,35%,23%,27%,31%,30%,31%,23%,31%,24%,18%,26%,28%,28%,27%,24%,28%,26%,28%,26%,23%,30%,34%,23%,24%,28%,27%,22%,27%,,,,,,,,,,,
,,,,,,,,,,,,,28%,25%,23%,24%,33%,27%,25%,35%,23%,27%,32%,31%,31%,23%,31%,25%,17%,25%,29%,28%,27%,24%,28%,25%,28%,27%,23%,29%,33%,23%,24%,28%,27%,23%,27%,,,,,,,,,,,
