id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime
17777,False,262,Arminia Bielefeld,ARM,117,Bayern Munich,BAY,None,None,None,None,2022-04-16 01:30:00
17778,False,121,Augsburg,AUG,122,Hertha Berlin,HER,None,None,None,None,2022-04-16 01:30:00
17779,False,125,Mainz 05,MAI,133,VfB Stuttgart,STU,None,None,None,None,2022-04-16 01:30:00
17780,False,120,Hoffenheim,HOF,267,Greuther Fuerth,GRE,None,None,None,None,2022-04-16 01:30:00
17781,False,135,Freiburg,FRE,268,Bochum,BOC,None,None,None,None,2022-04-16 01:30:00
17782,False,130,Borussia M.Gladbach,BMG,134,FC Cologne,COL,None,None,None,None,2022-04-16 01:30:00
17783,False,240,Union Berlin,UNI,132,Eintracht Frankfurt,EIN,None,None,None,None,2022-04-16 01:30:00
17784,False,119,Bayer Leverkusen,LEV,136,RasenBallsport Leipzig,RBL,None,None,None,None,2022-04-16 01:30:00
17785,False,129,Borussia Dortmund,DOR,131,Wolfsburg,WOL,None,None,None,None,2022-04-16 01:30:00
17786,False,267,Greuther Fuerth,GRE,119,Bayer Leverkusen,LEV,None,None,None,None,2022-04-23 01:30:00
17787,False,268,Bochum,BOC,121,Augsburg,AUG,None,None,None,None,2022-04-23 01:30:00
17788,False,134,FC Cologne,COL,262,Arminia Bielefeld,ARM,None,None,None,None,2022-04-23 01:30:00
17789,False,122,Hertha Berlin,HER,133,VfB Stuttgart,STU,None,None,None,None,2022-04-23 01:30:00
17790,False,135,Freiburg,FRE,130,Borussia M.Gladbach,BMG,None,None,None,None,2022-04-23 01:30:00
17791,False,132,Eintracht Frankfurt,EIN,120,Hoffenheim,HOF,None,None,None,None,2022-04-23 01:30:00
17792,False,131,Wolfsburg,WOL,125,Mainz 05,MAI,None,None,None,None,2022-04-23 01:30:00
17793,False,136,RasenBallsport Leipzig,RBL,240,Union Berlin,UNI,None,None,None,None,2022-04-23 01:30:00
17794,False,117,Bayern Munich,BAY,129,Borussia Dortmund,DOR,None,None,None,None,2022-04-23 01:30:00
17795,False,262,Arminia Bielefeld,ARM,122,Hertha Berlin,HER,None,None,None,None,2022-04-30 01:30:00
17796,False,121,Augsburg,AUG,134,FC Cologne,COL,None,None,None,None,2022-04-30 01:30:00
17797,False,125,Mainz 05,MAI,117,Bayern Munich,BAY,None,None,None,None,2022-04-30 01:30:00
17798,False,120,Hoffenheim,HOF,135,Freiburg,FRE,None,None,None,None,2022-04-30 01:30:00
17799,False,133,VfB Stuttgart,STU,131,Wolfsburg,WOL,None,None,None,None,2022-04-30 01:30:00
17800,False,130,Borussia M.Gladbach,BMG,136,RasenBallsport Leipzig,RBL,None,None,None,None,2022-04-30 01:30:00
17801,False,240,Union Berlin,UNI,267,Greuther Fuerth,GRE,None,None,None,None,2022-04-30 01:30:00
17802,False,119,Bayer Leverkusen,LEV,132,Eintracht Frankfurt,EIN,None,None,None,None,2022-04-30 01:30:00
17803,False,129,Borussia Dortmund,DOR,268,Bochum,BOC,None,None,None,None,2022-04-30 01:30:00
17804,False,267,Greuther Fuerth,GRE,129,Borussia Dortmund,DOR,None,None,None,None,2022-05-07 01:30:00
17805,False,268,Bochum,BOC,262,Arminia Bielefeld,ARM,None,None,None,None,2022-05-07 01:30:00
17806,False,134,FC Cologne,COL,131,Wolfsburg,WOL,None,None,None,None,2022-05-07 01:30:00
17807,False,122,Hertha Berlin,HER,125,Mainz 05,MAI,None,None,None,None,2022-05-07 01:30:00
17808,False,120,Hoffenheim,HOF,119,Bayer Leverkusen,LEV,None,None,None,None,2022-05-07 01:30:00
17809,False,135,Freiburg,FRE,240,Union Berlin,UNI,None,None,None,None,2022-05-07 01:30:00
17810,False,132,Eintracht Frankfurt,EIN,130,Borussia M.Gladbach,BMG,None,None,None,None,2022-05-07 01:30:00
17811,False,136,RasenBallsport Leipzig,RBL,121,Augsburg,AUG,None,None,None,None,2022-05-07 01:30:00
17812,False,117,Bayern Munich,BAY,133,VfB Stuttgart,STU,None,None,None,None,2022-05-07 01:30:00
17813,False,262,Arminia Bielefeld,ARM,136,RasenBallsport Leipzig,RBL,None,None,None,None,2022-05-14 01:30:00
17814,False,121,Augsburg,AUG,267,Greuther Fuerth,GRE,None,None,None,None,2022-05-14 01:30:00
17815,False,125,Mainz 05,MAI,132,Eintracht Frankfurt,EIN,None,None,None,None,2022-05-14 01:30:00
17816,False,133,VfB Stuttgart,STU,134,FC Cologne,COL,None,None,None,None,2022-05-14 01:30:00
17817,False,130,Borussia M.Gladbach,BMG,120,Hoffenheim,HOF,None,None,None,None,2022-05-14 01:30:00
17818,False,240,Union Berlin,UNI,268,Bochum,BOC,None,None,None,None,2022-05-14 01:30:00
17819,False,119,Bayer Leverkusen,LEV,135,Freiburg,FRE,None,None,None,None,2022-05-14 01:30:00
17820,False,131,Wolfsburg,WOL,117,Bayern Munich,BAY,None,None,None,None,2022-05-14 01:30:00
17821,False,129,Borussia Dortmund,DOR,122,Hertha Berlin,HER,None,None,None,None,2022-05-14 01:30:00
