Dátum,Meccs-Id,Hazai-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Hazai-PR,Ellenfél-PR,PR-diff,Hazai-xgPR,Ellenfél-xgPR,Hazai-Mixed-PR,Ellenfél-Mixed-PR,H%,D%,A%,ForeCast-W,ForeCast-D,ForeCast-A
2014-10-18 14:30:00,5394,Hannover 96,Borussia M.Gladbach,0,3,0.558311,1.61826,8.8558,11.1259,-2.2701,9.3431,10.6476,9.8686,9.6043,,,,0.1003,0.2231,0.6766
2014-10-18 14:30:00,5395,Freiburg,Wolfsburg,1,2,1.00939,1.45969,9.3908,10.4374,-1.0466,10.2129,9.7548,9.5688,10.1202,,,,0.2389,0.2799,0.4812
2014-10-18 14:30:00,5396,VfB Stuttgart,Bayer Leverkusen,3,3,1.30466,1.86824,9.4880,9.8895,-0.4015,9.6191,10.4832,10.8568,8.7958,,,,0.2294,0.2616,0.509
2014-10-18 14:30:00,5397,FC Cologne,Borussia Dortmund,2,1,0.904346,0.825853,9.7836,9.1611,0.6225,9.1249,10.9482,10.6922,8.3736,,,,0.3672,0.3434,0.2894
2014-10-18 17:30:00,5398,Schalke 04,Hertha Berlin,2,0,0.80457,0.848507,10.4105,9.5387,0.8718,9.4931,10.0608,11.0780,10.2668,,,,0.3198,0.3605,0.3197
2014-10-19 14:30:00,5399,Hamburger SV,Hoffenheim,1,1,1.82378,1.55868,9.7395,10.3704,-0.6309,10.3912,9.4532,10.5880,10.0375,,,,0.424,0.2864,0.2896
2014-10-19 16:30:00,5400,Paderborn,Eintracht Frankfurt,3,1,2.37575,0.558647,10.3310,9.7289,0.6021,9.7268,9.4580,10.4351,9.9998,,,,0.8458,0.1156,0.0386
2014-10-24 19:30:00,5401,Werder Bremen,FC Cologne,0,1,0.514564,0.519282,8.4151,9.8274,-1.4123,10.6378,8.9199,9.4424,10.7348,,,,0.2675,0.4587,0.2738
2014-10-25 14:30:00,5402,Eintracht Frankfurt,VfB Stuttgart,4,5,2.97969,3.13433,9.2937,9.9232,-0.6295,9.2341,9.8430,9.6032,11.2534,,,,0.3578,0.2114,0.4308
2014-10-25 14:30:00,5403,Augsburg,Freiburg,2,0,2.2412,0.909372,10.2346,9.1721,1.0625,10.1539,10.1612,10.3153,9.6830,,,,0.7274,0.1768,0.0958
2014-10-25 14:30:00,5404,Hoffenheim,Paderborn,1,0,1.5035,0.673226,10.4855,10.2159,0.2696,9.5259,9.6541,9.9451,10.5275,,,,0.6206,0.2623,0.1171
2014-10-25 14:30:00,5405,Hertha Berlin,Hamburger SV,3,0,2.51297,0.784655,10.2139,9.0643,1.1496,10.4181,10.0339,10.5099,10.3449,,,,0.8329,0.1331,0.034
2014-10-25 14:30:00,5406,Borussia Dortmund,Hannover 96,0,1,1.61946,0.695852,8.7098,9.3071,-0.5973,10.9778,9.3135,7.6914,10.5508,,,,0.6186,0.2457,0.1357
2014-10-25 17:30:00,5407,Bayer Leverkusen,Schalke 04,1,0,0.837202,0.145365,10.1448,10.1552,-0.0104,10.6614,9.3149,8.8781,10.9957,,,,0.5203,0.4158,0.0639
2014-10-26 14:30:00,5408,Wolfsburg,Mainz 05,3,0,4.06466,1.6222,11.0948,9.9097,1.1851,10.2728,8.8230,10.1670,10.4963,,,,0.8559,0.0904,0.0537
2014-10-26 16:30:00,5409,Borussia M.Gladbach,Bayern Munich,0,0,0.648384,1.2047,11.3962,12.4367,-1.0405,10.7788,11.2759,10.0137,8.8475,,,,0.1842,0.3064,0.5094
2014-10-31 19:30:00,5410,Schalke 04,Augsburg,1,0,1.71186,0.688487,10.3000,10.0898,0.2102,9.4656,10.0032,10.8847,10.4263,,,,0.6798,0.2196,0.1006
2014-11-01 14:30:00,5348,Mainz 05,Werder Bremen,1,2,1.19297,1.65943,9.1610,9.1638,-0.0028,8.2077,11.2531,9.8643,10.0744,,,,0.2251,0.2716,0.5033
